Degree,Major,Skill1,Skill2,Certification,ExperienceYears,ProjectCount,Internship,ExperienceLevel,JobRole
MBA,Data Science,Java,Data Analysis,Azure,8,5,Yes,Senior,Data Analyst
M.Tech,Business,Data Analysis,Machine Learning,None,6,5,No,Senior,ML Engineer
BCA,Business,Cloud,SQL,Azure,4,6,Yes,Mid,Data Analyst
M.Tech,IT,C++,C++,Azure,6,5,Yes,Senior,Software Developer
MCA,AI,Java,Machine Learning,AI Specialist,8,1,Yes,Senior,ML Engineer
M.Tech,Electronics,Deep Learning,Cloud,Data Analytics,9,7,Yes,Senior,ML Engineer
MCA,Business,Deep Learning,Machine Learning,AWS,5,3,No,Mid,ML Engineer
MCA,IT,Data Analysis,SQL,None,0,8,Yes,Fresher,Data Analyst
MCA,IT,Cloud,Data Analysis,Cybersecurity,5,7,Yes,Mid,Data Analyst
M.Tech,AI,Cloud,SQL,Azure,0,2,No,Fresher,Data Analyst
BCA,AI,Python,Java,AWS,12,2,Yes,Expert,Data Scientist
M.Tech,AI,Machine Learning,Java,None,11,7,Yes,Expert,ML Engineer
BCA,Electronics,Java,Machine Learning,None,3,1,Yes,Mid,ML Engineer
BCA,IT,Data Analysis,Deep Learning,AWS,13,8,Yes,Expert,ML Engineer
MCA,Data Science,Deep Learning,Data Analysis,Data Analytics,7,3,Yes,Senior,ML Engineer
M.Tech,Electronics,Cloud,Deep Learning,AI Specialist,4,5,Yes,Mid,ML Engineer
BCA,Computer Science,Deep Learning,Java,Cybersecurity,14,2,No,Expert,ML Engineer
MBA,Business,Deep Learning,C++,AI Specialist,4,2,Yes,Mid,ML Engineer
BCA,AI,Cloud,Python,None,12,2,Yes,Expert,Data Scientist
MBA,IT,C++,Machine Learning,Cybersecurity,9,9,Yes,Senior,ML Engineer
M.Tech,Business,Cloud,Python,None,10,1,Yes,Senior,Business Analyst
M.Tech,Electronics,Cloud,Java,Azure,7,7,No,Senior,Cloud Engineer
M.Tech,Computer Science,Machine Learning,SQL,Azure,7,8,Yes,Senior,ML Engineer
BCA,Electronics,Data Analysis,Cloud,AWS,0,7,Yes,Fresher,Data Analyst
B.Tech,Electronics,Data Analysis,Machine Learning,Cybersecurity,12,9,Yes,Expert,ML Engineer
BCA,Data Science,Cloud,Java,Cybersecurity,12,2,Yes,Expert,Security Analyst
BCA,Business,SQL,Data Analysis,None,4,6,Yes,Mid,Data Analyst
MCA,Data Science,Data Analysis,C++,AI Specialist,11,9,Yes,Expert,Data Analyst
MCA,Electronics,Data Analysis,Cloud,Azure,4,1,Yes,Mid,Data Analyst
BCA,Computer Science,Data Analysis,Machine Learning,GCP,7,3,Yes,Senior,ML Engineer
MBA,IT,Cloud,Machine Learning,AWS,0,5,Yes,Fresher,ML Engineer
MCA,IT,Deep Learning,Data Analysis,Cybersecurity,6,4,Yes,Senior,ML Engineer
BCA,Business,Java,Deep Learning,Data Analytics,6,8,Yes,Senior,ML Engineer
B.Tech,AI,Deep Learning,SQL,Data Analytics,12,9,No,Expert,ML Engineer
MBA,AI,Machine Learning,Machine Learning,GCP,8,3,Yes,Senior,ML Engineer
M.Tech,IT,SQL,SQL,Azure,1,4,No,Junior,Data Analyst
BCA,Electronics,Cloud,Java,Azure,14,3,Yes,Expert,Cloud Engineer
BCA,Electronics,C++,C++,Azure,2,7,No,Junior,Security Analyst
MBA,Data Science,Python,Cloud,AI Specialist,3,7,Yes,Mid,Data Scientist
MCA,Business,Cloud,Cloud,None,0,2,Yes,Fresher,Business Analyst
MCA,Data Science,Java,C++,Data Analytics,14,0,Yes,Expert,Data Analyst
MCA,AI,Python,Machine Learning,Azure,6,5,Yes,Senior,Data Scientist
M.Tech,IT,C++,Machine Learning,Data Analytics,13,1,Yes,Expert,ML Engineer
MBA,Electronics,Machine Learning,Java,GCP,9,1,Yes,Senior,ML Engineer
MBA,IT,Machine Learning,Deep Learning,AWS,2,2,Yes,Junior,ML Engineer
MCA,Computer Science,C++,Deep Learning,None,2,7,Yes,Junior,ML Engineer
MCA,IT,Deep Learning,Deep Learning,AI Specialist,2,2,Yes,Junior,ML Engineer
B.Tech,Computer Science,C++,SQL,Cybersecurity,7,6,Yes,Senior,Data Analyst
B.Tech,Data Science,Data Analysis,Deep Learning,GCP,8,9,Yes,Senior,ML Engineer
BCA,Data Science,Data Analysis,C++,None,9,9,Yes,Senior,Data Analyst
BCA,AI,Cloud,Cloud,Data Analytics,12,8,Yes,Expert,Software Developer
MBA,IT,Java,Cloud,GCP,13,7,Yes,Expert,Software Developer
MBA,IT,Data Analysis,SQL,Cybersecurity,1,0,Yes,Junior,Data Analyst
M.Tech,Computer Science,SQL,Java,None,9,6,Yes,Senior,Software Developer
M.Tech,Data Science,Cloud,C++,AI Specialist,14,6,No,Expert,Data Analyst
B.Tech,Computer Science,Cloud,Cloud,AWS,9,7,Yes,Senior,Cloud Engineer
BCA,Data Science,Cloud,C++,Cybersecurity,0,9,No,Fresher,Security Analyst
B.Tech,Computer Science,Python,Cloud,None,13,4,Yes,Expert,Data Analyst
B.Tech,Data Science,Python,Python,AI Specialist,8,9,No,Senior,Data Scientist
BCA,Computer Science,Machine Learning,Java,Data Analytics,5,8,No,Mid,ML Engineer
M.Tech,Data Science,Cloud,Java,Cybersecurity,13,8,Yes,Expert,Security Analyst
BCA,Business,Deep Learning,Data Analysis,GCP,14,7,Yes,Expert,ML Engineer
MCA,Computer Science,Data Analysis,Python,Azure,8,5,Yes,Senior,Data Analyst
MCA,IT,Machine Learning,SQL,GCP,5,5,Yes,Mid,ML Engineer
MCA,AI,Java,Cloud,Data Analytics,1,0,No,Junior,Software Developer
MBA,Business,C++,Data Analysis,None,0,5,No,Fresher,Data Analyst
M.Tech,Business,Python,Cloud,AWS,13,3,No,Expert,Cloud Engineer
M.Tech,Computer Science,Cloud,Cloud,Cybersecurity,7,3,No,Senior,Security Analyst
MBA,AI,Java,Deep Learning,None,2,1,No,Junior,ML Engineer
B.Tech,IT,Machine Learning,Deep Learning,AWS,0,3,Yes,Fresher,ML Engineer
MCA,Business,Machine Learning,Deep Learning,Data Analytics,14,4,Yes,Expert,ML Engineer
MCA,IT,Python,Deep Learning,Cybersecurity,7,4,Yes,Senior,ML Engineer
B.Tech,Data Science,Machine Learning,Deep Learning,AI Specialist,11,4,Yes,Expert,ML Engineer
BCA,AI,Deep Learning,Python,AI Specialist,0,3,Yes,Fresher,Data Scientist
BCA,Electronics,Machine Learning,Java,None,7,0,Yes,Senior,ML Engineer
M.Tech,Data Science,SQL,SQL,GCP,0,9,Yes,Fresher,Data Analyst
MBA,AI,Data Analysis,C++,None,8,7,Yes,Senior,Data Analyst
M.Tech,Computer Science,C++,Deep Learning,GCP,13,2,No,Expert,ML Engineer
BCA,Computer Science,Machine Learning,Python,Data Analytics,8,1,Yes,Senior,ML Engineer
B.Tech,IT,Data Analysis,Data Analysis,AI Specialist,11,8,Yes,Expert,Data Analyst
M.Tech,Business,Data Analysis,Data Analysis,Cybersecurity,12,6,No,Expert,Data Analyst
MCA,Electronics,SQL,Cloud,AI Specialist,8,8,Yes,Senior,Data Analyst
MCA,Computer Science,Java,SQL,GCP,2,1,Yes,Junior,Software Developer
B.Tech,AI,Machine Learning,Data Analysis,None,3,8,Yes,Mid,ML Engineer
BCA,Business,Deep Learning,SQL,Data Analytics,4,9,Yes,Mid,ML Engineer
MCA,Business,Java,SQL,AI Specialist,5,8,No,Mid,Data Analyst
MCA,AI,Data Analysis,Python,Data Analytics,8,8,Yes,Senior,Data Scientist
MBA,Business,Data Analysis,C++,AI Specialist,12,9,Yes,Expert,Data Analyst
M.Tech,Computer Science,Cloud,Deep Learning,None,10,9,Yes,Senior,ML Engineer
BCA,AI,Machine Learning,SQL,AWS,11,3,No,Expert,ML Engineer
M.Tech,AI,Python,Python,None,3,9,Yes,Mid,Data Scientist
BCA,IT,SQL,Cloud,AI Specialist,13,2,No,Expert,Data Analyst
MCA,Electronics,SQL,Java,GCP,13,5,Yes,Expert,Data Analyst
MBA,IT,Python,Cloud,None,5,2,No,Mid,Data Analyst
M.Tech,Electronics,C++,Python,Cybersecurity,12,8,No,Expert,Security Analyst
MCA,AI,Data Analysis,Python,GCP,0,2,No,Fresher,Data Scientist
BCA,Business,Cloud,Python,GCP,1,1,Yes,Junior,Cloud Engineer
M.Tech,Electronics,Deep Learning,SQL,GCP,7,7,No,Senior,ML Engineer
M.Tech,AI,SQL,Python,Data Analytics,3,5,Yes,Mid,Data Scientist
MCA,AI,Java,Java,Azure,9,7,No,Senior,Data Analyst
M.Tech,IT,Data Analysis,SQL,Azure,6,6,Yes,Senior,Data Analyst
MBA,IT,Deep Learning,Cloud,AWS,3,2,Yes,Mid,ML Engineer
MBA,Business,SQL,Java,GCP,13,7,Yes,Expert,Data Analyst
MCA,Data Science,Cloud,Data Analysis,Azure,8,9,Yes,Senior,Data Analyst
BCA,Computer Science,C++,Machine Learning,AWS,8,0,Yes,Senior,ML Engineer
MCA,Data Science,Cloud,Cloud,Data Analytics,3,0,Yes,Mid,Data Analyst
MBA,Data Science,Java,Python,GCP,12,9,Yes,Expert,Data Scientist
B.Tech,Business,Cloud,Deep Learning,Cybersecurity,14,7,No,Expert,ML Engineer
B.Tech,Electronics,Deep Learning,Deep Learning,Data Analytics,7,8,Yes,Senior,ML Engineer
M.Tech,Business,Data Analysis,SQL,AWS,5,9,Yes,Mid,Data Analyst
M.Tech,Business,Java,Deep Learning,Data Analytics,0,5,No,Fresher,ML Engineer
B.Tech,AI,Data Analysis,Cloud,Cybersecurity,14,4,Yes,Expert,Data Analyst
MBA,AI,Python,SQL,Data Analytics,6,1,Yes,Senior,Data Scientist
M.Tech,AI,Machine Learning,Cloud,AWS,0,8,Yes,Fresher,ML Engineer
MCA,Computer Science,Python,Python,Cybersecurity,2,5,Yes,Junior,Security Analyst
MCA,Electronics,Deep Learning,C++,Cybersecurity,7,7,Yes,Senior,ML Engineer
MBA,Electronics,Machine Learning,C++,Data Analytics,14,8,Yes,Expert,ML Engineer
M.Tech,AI,Python,Java,Cybersecurity,8,8,No,Senior,Data Scientist
MCA,Data Science,Machine Learning,Python,None,2,7,Yes,Junior,Data Scientist
M.Tech,Computer Science,SQL,Deep Learning,Data Analytics,0,9,Yes,Fresher,ML Engineer
M.Tech,Data Science,Cloud,Python,GCP,0,7,No,Fresher,Data Scientist
MCA,IT,Java,Machine Learning,Cybersecurity,6,2,Yes,Senior,ML Engineer
B.Tech,Electronics,Machine Learning,C++,Data Analytics,4,2,Yes,Mid,ML Engineer
MCA,Electronics,SQL,Deep Learning,GCP,12,1,No,Expert,ML Engineer
MBA,Data Science,Cloud,Cloud,Cybersecurity,13,0,Yes,Expert,Security Analyst
BCA,Computer Science,Cloud,Cloud,GCP,0,3,No,Fresher,Cloud Engineer
MCA,Electronics,C++,C++,AI Specialist,5,1,Yes,Mid,Security Analyst
M.Tech,Data Science,Data Analysis,Python,Cybersecurity,13,1,No,Expert,Data Scientist
M.Tech,Business,Python,Deep Learning,AI Specialist,5,4,Yes,Mid,ML Engineer
MCA,Business,C++,Java,AWS,13,3,Yes,Expert,Business Analyst
BCA,Computer Science,Data Analysis,Cloud,AWS,3,0,Yes,Mid,Data Analyst
MCA,Data Science,Data Analysis,Python,Data Analytics,6,8,No,Senior,Data Scientist
BCA,Business,Deep Learning,Java,Azure,6,3,No,Senior,ML Engineer
BCA,Computer Science,SQL,Data Analysis,AI Specialist,11,4,Yes,Expert,Data Analyst
MBA,AI,C++,Deep Learning,AI Specialist,8,6,No,Senior,ML Engineer
M.Tech,Computer Science,C++,C++,AWS,11,1,Yes,Expert,Software Developer
M.Tech,IT,Data Analysis,Data Analysis,AI Specialist,0,7,Yes,Fresher,Data Analyst
BCA,AI,Cloud,Machine Learning,Azure,4,1,Yes,Mid,ML Engineer
M.Tech,Data Science,SQL,Data Analysis,GCP,14,9,No,Expert,Data Analyst
B.Tech,AI,Cloud,SQL,GCP,9,4,No,Senior,Data Analyst
BCA,AI,Java,C++,Azure,2,1,Yes,Junior,Data Analyst
M.Tech,Data Science,Machine Learning,Java,AI Specialist,6,1,No,Senior,ML Engineer
B.Tech,Data Science,Deep Learning,Python,AI Specialist,3,3,Yes,Mid,Data Scientist
MBA,Business,Deep Learning,Data Analysis,AI Specialist,3,3,Yes,Mid,ML Engineer
M.Tech,IT,Python,Cloud,None,12,7,Yes,Expert,Data Analyst
B.Tech,Data Science,Cloud,Deep Learning,Data Analytics,11,5,No,Expert,ML Engineer
MCA,Electronics,Machine Learning,Data Analysis,Cybersecurity,0,9,Yes,Fresher,ML Engineer
MCA,Electronics,Data Analysis,C++,Azure,0,7,Yes,Fresher,Data Analyst
B.Tech,IT,Python,Cloud,Azure,9,6,Yes,Senior,Cloud Engineer
BCA,Computer Science,Deep Learning,Cloud,None,1,9,Yes,Junior,ML Engineer
BCA,Computer Science,Machine Learning,Machine Learning,Azure,14,3,Yes,Expert,ML Engineer
M.Tech,Electronics,C++,Deep Learning,Azure,1,1,Yes,Junior,ML Engineer
MCA,Data Science,Java,Data Analysis,None,0,8,No,Fresher,Data Analyst
BCA,IT,Data Analysis,Java,Azure,7,1,Yes,Senior,Software Developer
BCA,Computer Science,C++,Deep Learning,AI Specialist,5,0,Yes,Mid,ML Engineer
MCA,Computer Science,Java,Data Analysis,None,5,7,No,Mid,Software Developer
MBA,AI,Data Analysis,Deep Learning,Data Analytics,9,9,Yes,Senior,ML Engineer
BCA,Electronics,Cloud,Python,AWS,9,8,No,Senior,Cloud Engineer
B.Tech,Data Science,SQL,SQL,AI Specialist,8,0,Yes,Senior,Data Analyst
M.Tech,IT,Python,Data Analysis,AI Specialist,4,6,Yes,Mid,Data Analyst
BCA,Computer Science,Python,Cloud,Cybersecurity,14,1,Yes,Expert,Security Analyst
BCA,AI,SQL,Java,None,3,5,No,Mid,Data Analyst
MBA,Electronics,Machine Learning,Data Analysis,AWS,14,4,No,Expert,ML Engineer
B.Tech,Electronics,SQL,Data Analysis,Azure,10,0,Yes,Senior,Data Analyst
M.Tech,IT,Cloud,Python,AWS,5,1,Yes,Mid,Cloud Engineer
BCA,Computer Science,Deep Learning,Cloud,Data Analytics,7,1,Yes,Senior,ML Engineer
M.Tech,IT,SQL,SQL,GCP,13,9,Yes,Expert,Data Analyst
MCA,IT,Java,Python,AI Specialist,0,9,Yes,Fresher,Software Developer
BCA,Business,Deep Learning,SQL,None,6,5,Yes,Senior,ML Engineer
BCA,AI,SQL,SQL,None,7,0,Yes,Senior,Data Analyst
MCA,Electronics,Python,SQL,AWS,8,3,Yes,Senior,Data Analyst
MBA,Business,C++,Python,Cybersecurity,10,9,No,Senior,Security Analyst
BCA,Data Science,Java,Deep Learning,Data Analytics,7,4,Yes,Senior,ML Engineer
M.Tech,Electronics,Cloud,Data Analysis,GCP,6,1,Yes,Senior,Data Analyst
B.Tech,Electronics,Java,SQL,Data Analytics,2,1,Yes,Junior,Data Analyst
M.Tech,AI,Data Analysis,Deep Learning,None,1,6,Yes,Junior,ML Engineer
MBA,Data Science,Machine Learning,Data Analysis,Azure,14,6,No,Expert,ML Engineer
B.Tech,Computer Science,C++,Cloud,GCP,2,5,Yes,Junior,Cloud Engineer
M.Tech,Data Science,Java,Data Analysis,None,3,0,Yes,Mid,Data Analyst
M.Tech,Computer Science,Data Analysis,Cloud,Cybersecurity,3,2,Yes,Mid,Data Analyst
MCA,Data Science,SQL,Java,GCP,5,8,No,Mid,Data Analyst
MBA,IT,Java,Machine Learning,None,11,9,Yes,Expert,ML Engineer
MCA,Data Science,Java,Deep Learning,Cybersecurity,6,0,Yes,Senior,ML Engineer
B.Tech,Business,Java,Data Analysis,Azure,11,1,Yes,Expert,Data Analyst
MCA,Business,Machine Learning,Cloud,Cybersecurity,3,7,Yes,Mid,ML Engineer
MBA,AI,Java,Machine Learning,Data Analytics,9,6,Yes,Senior,ML Engineer
BCA,Computer Science,Java,SQL,AWS,5,8,Yes,Mid,Software Developer
BCA,Electronics,Machine Learning,Machine Learning,Data Analytics,8,9,No,Senior,ML Engineer
B.Tech,AI,Data Analysis,Machine Learning,None,13,3,No,Expert,ML Engineer
BCA,Business,Deep Learning,SQL,None,5,3,Yes,Mid,ML Engineer
MCA,Business,C++,Deep Learning,AI Specialist,13,6,Yes,Expert,ML Engineer
B.Tech,Computer Science,Data Analysis,Data Analysis,Data Analytics,2,0,Yes,Junior,Data Analyst
MBA,Business,Cloud,SQL,GCP,0,9,Yes,Fresher,Data Analyst
B.Tech,Business,Deep Learning,Java,Azure,10,8,Yes,Senior,ML Engineer
B.Tech,Computer Science,Python,C++,AI Specialist,9,1,Yes,Senior,Software Developer
M.Tech,Business,Machine Learning,Data Analysis,AI Specialist,9,0,Yes,Senior,ML Engineer
M.Tech,Electronics,Machine Learning,Python,AI Specialist,12,6,Yes,Expert,ML Engineer
B.Tech,IT,Java,SQL,None,4,5,Yes,Mid,Software Developer
BCA,AI,Java,SQL,AWS,9,2,Yes,Senior,Data Analyst
M.Tech,Electronics,Cloud,Machine Learning,Cybersecurity,9,0,Yes,Senior,ML Engineer
MBA,Electronics,Python,Java,GCP,2,4,No,Junior,Security Analyst
MCA,IT,Java,Cloud,None,7,9,Yes,Senior,Software Developer
M.Tech,AI,SQL,Cloud,Azure,9,3,No,Senior,Data Analyst
B.Tech,Electronics,Java,Machine Learning,None,14,4,Yes,Expert,ML Engineer
BCA,Business,Java,Deep Learning,AWS,0,0,No,Fresher,ML Engineer
MCA,IT,SQL,Data Analysis,None,10,0,Yes,Senior,Data Analyst
M.Tech,AI,Python,SQL,None,1,4,No,Junior,Data Scientist
BCA,Data Science,SQL,Data Analysis,Data Analytics,2,5,Yes,Junior,Data Analyst
BCA,Computer Science,Machine Learning,Data Analysis,Azure,2,4,Yes,Junior,ML Engineer
BCA,Business,SQL,SQL,AI Specialist,11,1,Yes,Expert,Data Analyst
B.Tech,IT,C++,Machine Learning,Azure,7,8,Yes,Senior,ML Engineer
MBA,Computer Science,Machine Learning,Data Analysis,Azure,4,4,Yes,Mid,ML Engineer
BCA,Data Science,Java,SQL,Data Analytics,7,4,Yes,Senior,Data Analyst
MCA,Electronics,Cloud,Deep Learning,Cybersecurity,10,9,Yes,Senior,ML Engineer
M.Tech,Electronics,Machine Learning,Data Analysis,None,13,8,Yes,Expert,ML Engineer
MCA,AI,Python,C++,GCP,14,2,Yes,Expert,Data Scientist
B.Tech,IT,Python,Python,AI Specialist,14,4,Yes,Expert,Software Developer
B.Tech,IT,SQL,Python,Cybersecurity,10,4,Yes,Senior,Data Analyst
MCA,AI,Machine Learning,Python,AWS,5,1,No,Mid,Data Scientist
MBA,Computer Science,Java,C++,None,14,3,No,Expert,Software Developer
B.Tech,Electronics,Python,SQL,AI Specialist,11,1,No,Expert,Data Analyst
B.Tech,Electronics,Deep Learning,Machine Learning,GCP,1,4,No,Junior,ML Engineer
MCA,IT,Java,Cloud,None,10,9,Yes,Senior,Software Developer
B.Tech,IT,Deep Learning,Java,AWS,3,1,No,Mid,ML Engineer
MBA,AI,C++,SQL,Data Analytics,8,9,Yes,Senior,Data Analyst
MBA,Data Science,Deep Learning,C++,Cybersecurity,3,8,Yes,Mid,ML Engineer
MBA,Computer Science,Data Analysis,Data Analysis,None,4,9,No,Mid,Data Analyst
M.Tech,Business,Python,Deep Learning,AI Specialist,4,5,Yes,Mid,ML Engineer
MBA,Data Science,SQL,C++,Azure,9,7,Yes,Senior,Data Analyst
MBA,Data Science,C++,Data Analysis,GCP,7,8,Yes,Senior,Data Analyst
M.Tech,IT,Machine Learning,Cloud,None,5,7,Yes,Mid,ML Engineer
BCA,IT,Java,Python,AI Specialist,9,4,Yes,Senior,Software Developer
B.Tech,IT,Python,SQL,Azure,6,4,Yes,Senior,Data Analyst
MBA,Data Science,C++,Cloud,AI Specialist,5,5,Yes,Mid,Software Developer
B.Tech,Computer Science,C++,Python,None,13,0,Yes,Expert,AI Engineer
MCA,IT,Data Analysis,Java,AWS,13,7,Yes,Expert,Software Developer
B.Tech,Electronics,Python,Data Analysis,Azure,13,1,Yes,Expert,Data Analyst
M.Tech,Computer Science,Machine Learning,Data Analysis,Azure,4,5,No,Mid,ML Engineer
B.Tech,Electronics,Machine Learning,Deep Learning,AI Specialist,14,8,Yes,Expert,ML Engineer
B.Tech,Computer Science,SQL,Python,Data Analytics,4,2,No,Mid,Data Analyst
B.Tech,IT,Cloud,Java,None,2,1,Yes,Junior,Software Developer
BCA,Business,Deep Learning,Data Analysis,Data Analytics,6,9,Yes,Senior,ML Engineer
BCA,AI,Machine Learning,C++,Cybersecurity,12,4,Yes,Expert,ML Engineer
MCA,IT,Data Analysis,Python,AWS,9,8,Yes,Senior,Data Analyst
M.Tech,Data Science,SQL,Python,Data Analytics,4,5,Yes,Mid,Data Scientist
B.Tech,Business,Deep Learning,Machine Learning,AI Specialist,6,7,Yes,Senior,ML Engineer
B.Tech,Data Science,C++,Deep Learning,None,14,7,Yes,Expert,ML Engineer
B.Tech,Computer Science,Python,Deep Learning,Data Analytics,1,6,Yes,Junior,ML Engineer
B.Tech,Data Science,Machine Learning,Cloud,Cybersecurity,8,4,Yes,Senior,ML Engineer
BCA,Business,SQL,C++,GCP,7,1,No,Senior,Data Analyst
MCA,Business,C++,Machine Learning,Cybersecurity,14,9,Yes,Expert,ML Engineer
MBA,IT,Machine Learning,Cloud,Azure,4,9,No,Mid,ML Engineer
M.Tech,Electronics,Java,Java,None,1,4,No,Junior,Security Analyst
B.Tech,IT,Cloud,Cloud,Azure,5,6,Yes,Mid,Cloud Engineer
MCA,Computer Science,C++,Java,Data Analytics,7,6,No,Senior,Software Developer
MBA,Data Science,Data Analysis,C++,Data Analytics,6,1,No,Senior,Data Analyst
MCA,Electronics,Data Analysis,Data Analysis,Cybersecurity,7,6,Yes,Senior,Data Analyst
BCA,AI,Machine Learning,Deep Learning,Cybersecurity,3,5,Yes,Mid,ML Engineer
MBA,Business,Data Analysis,Data Analysis,AI Specialist,13,6,Yes,Expert,Data Analyst
MCA,Electronics,C++,Java,AWS,2,7,Yes,Junior,Security Analyst
BCA,Electronics,Python,C++,AI Specialist,6,3,Yes,Senior,Security Analyst
MCA,IT,Python,Data Analysis,Azure,1,0,No,Junior,Data Analyst
MCA,AI,Cloud,Cloud,AI Specialist,13,7,No,Expert,Software Developer
MBA,Business,Python,Java,Cybersecurity,4,7,Yes,Mid,Security Analyst
BCA,Computer Science,Deep Learning,SQL,None,12,2,Yes,Expert,ML Engineer
B.Tech,Computer Science,Java,Python,AI Specialist,6,2,No,Senior,Software Developer
M.Tech,Electronics,Python,Cloud,GCP,0,4,Yes,Fresher,Cloud Engineer
MBA,Electronics,Data Analysis,Deep Learning,AWS,3,2,Yes,Mid,ML Engineer
BCA,Data Science,Java,Data Analysis,Cybersecurity,14,4,Yes,Expert,Data Analyst
MCA,AI,Python,Cloud,None,1,7,Yes,Junior,Data Scientist
BCA,Business,Deep Learning,SQL,Data Analytics,5,0,Yes,Mid,ML Engineer
M.Tech,Electronics,Data Analysis,C++,AI Specialist,11,1,Yes,Expert,Data Analyst
M.Tech,Data Science,C++,C++,Cybersecurity,0,1,Yes,Fresher,Security Analyst
B.Tech,AI,Machine Learning,Cloud,Data Analytics,6,3,Yes,Senior,ML Engineer
B.Tech,Business,Machine Learning,SQL,Data Analytics,2,8,Yes,Junior,ML Engineer
M.Tech,Computer Science,Python,Data Analysis,Azure,11,1,Yes,Expert,Data Analyst
MBA,Data Science,Machine Learning,Cloud,Azure,0,8,No,Fresher,ML Engineer
MBA,AI,Python,Python,None,14,6,Yes,Expert,Data Scientist
MCA,Data Science,Python,Python,Cybersecurity,7,9,Yes,Senior,Data Scientist
B.Tech,Electronics,Data Analysis,Machine Learning,None,6,7,Yes,Senior,ML Engineer
MCA,IT,Cloud,Java,Cybersecurity,1,0,Yes,Junior,Software Developer
B.Tech,Computer Science,SQL,Machine Learning,GCP,6,4,No,Senior,ML Engineer
M.Tech,Electronics,SQL,Data Analysis,AWS,2,8,Yes,Junior,Data Analyst
MBA,Electronics,Cloud,Python,AWS,14,3,Yes,Expert,Cloud Engineer
MBA,AI,SQL,SQL,Cybersecurity,12,1,No,Expert,Data Analyst
M.Tech,Data Science,Java,Java,Azure,8,5,Yes,Senior,Data Analyst
MCA,Computer Science,SQL,Data Analysis,AI Specialist,7,1,Yes,Senior,Data Analyst
MCA,Electronics,Python,SQL,None,4,2,Yes,Mid,Data Analyst
BCA,AI,Deep Learning,Data Analysis,GCP,6,7,No,Senior,ML Engineer
B.Tech,Computer Science,Deep Learning,Machine Learning,AWS,2,2,Yes,Junior,ML Engineer
MCA,Data Science,C++,C++,Cybersecurity,0,1,No,Fresher,Security Analyst
M.Tech,Electronics,Data Analysis,SQL,Azure,0,5,Yes,Fresher,Data Analyst
MCA,Business,SQL,Machine Learning,Azure,14,2,Yes,Expert,ML Engineer
